"Vol. 1 & 2","Saffron","MF DOOM - Doomsday","Sade - Kiss of Life","Boogie Down Productions - Poetry"
"Vol. 1 & 2","Arrow Root","King Geedorah feat. Scienz of Live - Next Levels","Detroit Emeralds - You're Getting a Little Too Smart"
"Vol. 1 & 2","Zatar","MF Grimm feat. MF DOOM & Megalon - Foolish","Anita Baker - Been So Long"
"Vol. 1 & 2","Fenugreek","Monsta Island Czars - 1,2...1,2"
"Vol. 1 & 2","Sumac Berries","Monsta Island Czars - Scientific Civilization","Dennis Coffey - Never Can Say Goodbye"
"Vol. 1 & 2","Coriander","King Geedorah - Mic Line","Foxy - Madamoiselle"
"Vol. 1 & 2","? Shallots","MF DOOM - Hands of Doom",
"Vol. 1 & 2","Charnsuka","Raekwon feat. Ghostface Killah - Incarcerated Scarfaces (Criminology) (remix)","Isaac Hayes Movement - Vykkii","T-Ski Valley - Catch the Beat","Fantastic Four - Season 01 Episode 03 (The Way It All Began)"
"Vol. 1 & 2","Monosodium Glutamate","MF DOOM feat. DJ Cucumber Slice - Rhymes Like Dimes","Quincy Jones & James Ingram - One Hundred Ways"
"Vol. 1 & 2","Red #40","Monsta Island Czars - Make It Squash! (Got a Roc)","Cerrone - Rocket in the Pocket (Live In Concert Malligator 1978)"
"Vol. 1 & 2","Nettle Leaves","MF DOOM feat. Monsta Island Czars - Who Do You Think I Am?","Yusef Lateef - Eastern Market"
"Vol. 1 & 2","Mullein","Gigan - Live Wirez","Dragon Ball Z: Cooler's Revenge"
"Vol. 1 & 2","Mugworth","King Geedorah feat. Biolante - Fastlane","Coke Escovedo - Hangin' On"
"Vol. 1 & 2","All Spice","MF DOOM - Kon Karne","Sade - Is It a Crime"
"Vol. 1 & 2","Lovage","MF DOOM feat. Angelika & 4ize - Guinnesses","Faze-O - True Love","Fantastic Four - Return of Doctor Doom - (1970s Radio Show)"
"Vol. 1 & 2","Eucalyptus","MF Grimm - I.B.'s","George Duke - Sister Serene","Jon Lucien - Maiden Voyage"
"Vol. 1 & 2","Myrrh","MF DOOM - Deep Fried Frenz","Whodini - Friends","Ronnie Laws - Friends and Strangers"
"Vol. 3 & 4","Agrimony","Masta Ace - Ninteen Seventy Something","Otis Redding - Your Feeling Is Mine"
"Vol. 3 & 4","Arabic Gum","Babbletron - Space Tech Banana Clip","Star Blazers - Season 1 Episode 1 (The Battle at Pluto)","Graham Central Station - The Jam"
"Vol. 3 & 4","Benzoin Gum","Bishop Nehru - Lemon Grass","Isaac Hayes - What Does It Take","Lonnie Liston Smith - A Lonely Way to Be"
"Vol. 3 & 4","Bergamot Wild","Monsta Island Czars - Escape From Monsta Isle","Roy Ayers Ubiquity - Vibrations"
"Vol. 3 & 4","Calamus Root","MF DOOM - Gas Drawls","Steely Dan - Black Cow"
"Vol. 3 & 4","Dragon's Blood Resin","MF DOOM - Go With The Flow","Spinners - Ain't No Price On Happiness","Spider-Man - Season 3 Episode 6 (Knight Must Fall/The Devious Dr. Dumpty)"
"Vol. 3 & 4","Elder Blossoms","John Robinson feat. Invizible Handz - Crazy Music","Galt MacDermot - Space","Aubrey Hodges and Danny Lewis - Doom Playstation Sound Effects"
"Vol. 3 & 4","Styrax Gum","DOOM - That's That","Galt MacDermot - Princess Gika"
"Vol. 3 & 4","Blood Root","MF DOOM - I Hear Voices","George Duke - For Love (I Come Your Friend)"
"Vol. 3 & 4","Star Anis","MF DOOM feat. Monsta Island Czars - No Snakes Alive","Riichiro Manabe - Kidnap","Fist of the North Star - Season 1 Episode 7 (Villains! Shall We Have a Countdown to Death?)"
"Vol. 3 & 4","Lemon Grass","Gigan - Krazy World","The 5th Dimension - Requiem: 820 Latham"
"Vol. 3 & 4","Four Thieves Vinegar","Megalon - Rain Blood","Gino Vannelli - Appaloosa"
"Vol. 3 & 4","Galangal Root","MF DOOM - Dead Bent","Isaac Hayes - Walk on By"
